space_no,pos_x,pos_y
38,55,15
39,55,16
40,55,17
41,55,18
42,55,19
43,55,20
44,55,25
45,55,26
46,55,27
47,55,28
48,55,29
49,55,30
50,55,31
51,55,32
52,55,34
53,55,35
54,55,36
55,55,37
56,55,38
57,55,39
58,55,40
1,53,40
2,53,39
3,53,38
4,53,37
5,53,36
6,53,35
7,53,34
8,53,32
9,53,31
10,53,30
11,53,29
12,53,28
13,53,27
14,53,26
15,53,25
16,53,20
17,53,19
18,53,18
19,53,17
20,53,16
21,53,15
22,53,14
23,53,12
24,53,11
25,53,10
26,53,9
27,53,8
28,53,7
29,53,6
30,52,6
31,52,7
32,52,8
33,52,9
34,52,10
35,52,11
36,52,12
37,52,14
38,52,15
39,52,16
40,52,17
41,52,18
42,52,19
43,52,20
44,52,25
45,52,26
46,52,27
47,52,28
48,52,29
49,52,30
50,52,31
51,52,32
52,52,34
53,52,35
54,52,36
55,52,37
56,52,38
57,52,39
58,52,40
1,50,40
2,50,39
3,50,38
4,50,37
5,50,36
6,50,35
7,50,34
8,50,32
9,50,31
10,50,30
11,50,29
12,50,28
13,50,27
14,50,26
15,50,25
16,50,20
17,50,19
18,50,18
19,50,17
20,50,16
21,50,15
22,50,14
23,50,12
24,50,11
25,50,10
26,50,9
27,50,8
28,50,7
29,50,6
30,49,6
31,49,7
32,49,8
33,49,9
34,49,10
35,49,11
36,49,12
37,49,14
38,49,15
39,49,16
40,49,17
41,49,18
42,49,19
43,49,20
44,49,25
45,49,26
46,49,27
47,49,28
48,49,29
49,49,30
50,49,31
51,49,32
52,49,34
53,49,35
54,49,36
55,49,37
56,49,38
57,49,39
58,49,40
1,47,40
2,47,39
3,47,38
4,47,37
5,47,36
6,47,35
7,47,34
8,47,32
9,47,31
10,47,30
11,47,29
12,47,28
13,47,27
14,47,26
15,47,25
16,47,20
17,47,19
18,47,18
19,47,17
20,47,16
21,47,15
22,47,14
23,47,12
24,47,11
25,47,10
26,47,9
27,47,8
28,47,7
29,47,6
30,46,6
31,46,7
32,46,8
33,46,9
34,46,10
35,46,11
36,46,12
37,46,14
38,46,15
39,46,16
40,46,17
41,46,18
42,46,19
43,46,20
44,46,25
45,46,26
46,46,27
47,46,28
48,46,29
49,46,30
50,46,31
51,46,32
52,46,34
53,46,35
54,46,36
55,46,37
56,46,38
57,46,39
58,46,40
1,42,40
2,42,39
3,42,38
4,42,37
5,42,36
6,42,35
7,42,34
8,42,32
9,42,31
10,42,30
11,42,29
12,42,28
13,42,27
14,42,26
15,42,25
16,42,20
17,42,19
18,42,18
19,42,17
20,42,16
21,42,15
22,42,14
23,42,12
24,42,11
25,42,10
26,42,9
27,42,8
28,42,7
29,42,6
30,41,6
31,41,7
32,41,8
33,41,9
34,41,10
35,41,11
36,41,12
37,41,14
38,41,15
39,41,16
40,41,17
41,41,18
42,41,19
43,41,20
44,41,25
45,41,26
46,41,27
47,41,28
48,41,29
49,41,30
50,41,31
51,41,32
52,41,34
53,41,35
54,41,36
55,41,37
56,41,38
57,41,39
58,41,40
1,39,40
2,39,39
3,39,38
4,39,37
5,39,36
6,39,35
7,39,34
8,39,32
9,39,31
10,39,30
11,39,29
12,39,28
13,39,27
14,39,26
15,39,25
16,39,20
17,39,19
18,39,18
19,39,17
20,39,16
21,39,15
22,39,14
23,39,12
24,39,11
25,39,10
26,39,9
27,39,8
28,39,7
29,39,6
30,38,6
31,38,7
32,38,8
33,38,9
34,38,10
35,38,11
36,38,12
37,38,14
38,38,15
39,38,16
40,38,17
41,38,18
42,38,19
43,38,20
44,38,25
45,38,26
46,38,27
47,38,28
48,38,29
49,38,30
50,38,31
51,38,32
52,38,34
53,38,35
54,38,36
55,38,37
56,38,38
57,38,39
58,38,40
1,36,40
2,36,39
3,36,38
4,36,37
5,36,36
6,36,35
7,36,34
8,36,32
9,36,31
10,36,30
11,36,29
12,36,28
13,36,27
14,36,26
15,36,25
16,36,20
17,36,19
18,36,18
19,36,17
20,36,16
21,36,15
22,36,14
23,36,12
24,36,11
25,36,10
26,36,9
27,36,8
28,36,7
29,36,6
30,35,6
31,35,7
32,35,8
33,35,9
34,35,10
35,35,11
36,35,12
37,35,14
38,35,15
39,35,16
40,35,17
41,35,18
42,35,19
43,35,20
44,35,25
45,35,26
46,35,27
47,35,28
48,35,29
49,35,30
50,35,31
51,35,32
52,35,34
53,35,35
54,35,36
55,35,37
56,35,38
57,35,39
58,35,40
1,33,40
2,33,39
3,33,38
4,33,37
5,33,36
6,33,35
7,33,34
8,33,32
9,33,31
10,33,30
11,33,29
12,33,28
13,33,27
14,33,26
15,33,25
16,33,20
17,33,19
18,33,18
19,33,17
20,33,16
21,33,15
22,33,14
23,33,12
24,33,11
25,33,10
26,33,9
27,33,8
28,33,7
29,33,6
30,32,6
31,32,7
32,32,8
33,32,9
34,32,10
35,32,11
36,32,12
37,32,14
38,32,15
39,32,16
40,32,17
41,32,18
42,32,19
43,32,20
44,32,25
45,32,26
46,32,27
47,32,28
48,32,29
49,32,30
50,32,31
51,32,32
52,32,34
53,32,35
54,32,36
55,32,37
56,32,38
57,32,39
58,32,40
1,29,40
2,29,39
3,29,38
4,29,37
5,29,36
6,29,35
7,29,34
8,29,32
9,29,31
10,29,30
11,29,29
12,29,28
13,29,27
14,29,26
15,29,25
16,29,20
17,29,19
18,29,18
19,29,17
20,29,16
21,29,15
22,29,14
23,29,12
24,29,11
25,29,10
26,29,9
27,29,8
28,29,7
29,29,6
30,28,6
31,28,7
32,28,8
33,28,9
34,28,10
35,28,11
36,28,12
37,28,14
38,28,15
39,28,16
40,28,17
41,28,18
42,28,19
43,28,20
44,28,25
45,28,26
46,28,27
47,28,28
48,28,29
49,28,30
50,28,31
51,28,32
52,28,34
53,28,35
54,28,36
55,28,37
56,28,38
57,28,39
58,28,40
1,26,40
2,26,39
3,26,38
4,26,37
5,26,36
6,26,35
7,26,34
8,26,32
9,26,31
10,26,30
11,26,29
12,26,28
13,26,27
14,26,26
15,26,25
16,26,20
17,26,19
18,26,18
19,26,17
20,26,16
21,26,15
22,26,14
23,26,12
24,26,11
25,26,10
26,26,9
27,26,8
28,26,7
29,26,6
30,25,6
31,25,7
32,25,8
33,25,9
34,25,10
35,25,11
36,25,12
37,25,14
38,25,15
39,25,16
40,25,17
41,25,18
42,25,19
43,25,20
44,25,25
45,25,26
46,25,27
47,25,28
48,25,29
49,25,30
50,25,31
51,25,32
52,25,34
53,25,35
54,25,36
55,25,37
56,25,38
57,25,39
58,25,40
1,23,40
2,23,39
3,23,38
4,23,37
5,23,36
6,23,35
7,23,34
8,23,32
9,23,31
10,23,30
11,23,29
12,23,28
13,23,27
14,23,26
15,23,25
16,23,20
17,23,19
18,23,18
19,23,17
20,23,16
21,23,15
22,23,14
23,23,12
24,23,11
25,23,10
26,23,9
27,23,8
28,23,7
29,23,6
30,22,6
31,22,7
32,22,8
33,22,9
34,22,10
35,22,11
36,22,12
37,22,14
38,22,15
39,22,16
40,22,17
41,22,18
42,22,19
43,22,20
44,22,25
45,22,26
46,22,27
47,22,28
48,22,29
49,22,30
50,22,31
51,22,32
52,22,34
53,22,35
54,22,36
55,22,37
56,22,38
57,22,39
58,22,40
1,20,40
2,20,39
3,20,38
4,20,37
5,20,36
6,20,35
7,20,34
8,20,32
9,20,31
10,20,30
11,20,29
12,20,28
13,20,27
14,20,26
15,20,25
16,20,20
17,20,19
18,20,18
19,20,17
20,20,16
21,20,15
22,20,14
23,20,12
24,20,11
25,20,10
26,20,9
27,20,8
28,20,7
29,20,6
30,19,6
31,19,7
32,19,8
33,19,9
34,19,10
35,19,11
36,19,12
37,19,14
38,19,15
39,19,16
40,19,17
41,19,18
42,19,19
43,19,20
44,19,25
45,19,26
46,19,27
47,19,28
48,19,29
49,19,30
50,19,31
51,19,32
52,19,34
53,19,35
54,19,36
55,19,37
56,19,38
57,19,39
58,19,40
1,17,40
2,17,39
3,17,38
4,17,37
5,17,36
6,17,35
7,17,34
8,17,32
9,17,31
10,17,30
11,17,29
12,17,28
13,17,27
14,17,26
15,17,25
16,17,20
17,17,19
18,17,18
19,17,17
20,17,16
21,17,15
22,17,14
23,17,12
24,17,11
25,17,10
26,17,9
27,17,8
28,17,7
29,17,6
30,16,6
31,16,7
32,16,8
33,16,9
34,16,10
35,16,11
36,16,12
37,16,14
38,16,15
39,16,16
40,16,17
41,16,18
42,16,19
43,16,20
44,16,25
45,16,26
46,16,27
47,16,28
48,16,29
49,16,30
50,16,31
51,16,32
52,16,34
53,16,35
54,16,36
55,16,37
56,16,38
57,16,39
58,16,40
1,14,40
2,14,39
3,14,38
4,14,37
5,14,36
6,14,35
7,14,34
8,14,32
9,14,31
10,14,30
11,14,29
12,14,28
13,14,27
14,14,26
15,14,25
16,14,20
17,14,19
18,14,18
19,14,17
20,14,16
21,14,15
22,14,14
23,14,12
24,14,11
25,14,10
26,14,9
27,14,8
28,14,7
29,14,6
30,13,6
31,13,7
32,13,8
33,13,9
34,13,10
35,13,11
36,13,12
37,13,14
38,13,15
39,13,16
40,13,17
41,13,18
42,13,19
43,13,20
44,13,25
45,13,26
46,13,27
47,13,28
48,13,29
49,13,30
50,13,31
51,13,32
52,13,34
53,13,35
54,13,36
55,13,37
56,13,38
57,13,39
58,13,40
1,10,40
2,10,39
3,10,38
4,10,37
5,10,36
6,10,35
7,10,34
8,10,32
9,10,31
10,10,30
11,10,29
12,10,28
13,10,27
14,10,26
15,10,25
16,10,20
17,10,19
18,10,18
19,10,17
20,10,16
21,10,15
22,10,14
23,10,12
24,10,11
25,10,10
26,10,9
27,10,8
28,10,7
29,10,6
30,9,6
31,9,7
32,9,8
33,9,9
34,9,10
35,9,11
36,9,12
37,9,14
38,9,15
39,9,16
40,9,17
41,9,18
42,9,19
43,9,20
44,9,25
45,9,26
46,9,27
47,9,28
48,9,29
49,9,30
50,9,31
51,9,32
52,9,34
53,9,35
54,9,36
55,9,37
56,9,38
57,9,39
58,9,40
1,7,40
2,7,39
3,7,38
4,7,37
5,7,36
6,7,35
7,7,34
8,7,32
9,7,31
10,7,30
11,7,29
12,7,28
13,7,27
14,7,26
15,7,25
16,7,20
17,7,19
18,7,18
19,7,17
20,7,16
21,7,15
22,7,14
23,7,12
24,7,11
25,7,10
26,7,9
27,7,8
28,7,7
29,7,6
30,6,6
31,6,7
32,6,8
33,6,9
34,6,10
35,6,11
36,6,12
37,6,14
38,6,15
39,6,16
40,6,17
41,6,18
42,6,19
43,6,20
44,6,25
45,6,26
46,6,27
47,6,28
48,6,29
49,6,30
50,6,31
51,6,32
52,6,34
53,6,35
54,6,36
55,6,37
56,6,38
57,6,39
58,6,40
1,4,40
2,4,39
3,4,38
4,4,37
5,4,36
6,4,35
7,4,34
8,4,32
9,4,31
10,4,30
11,4,29
12,4,28
13,4,27
14,4,26
15,4,25
16,4,20
17,4,19
18,4,18
19,4,17
20,4,16
21,4,15
22,4,14
23,4,12
24,4,11
25,4,10
26,4,9
27,4,8
28,4,7
29,4,6
30,3,6
31,3,7
32,3,8
33,3,9
34,3,10
35,3,11
36,3,12
37,3,14
38,3,15
39,3,16
40,3,17
41,3,18
42,3,19
43,3,20
44,3,25
45,3,26
46,3,27
47,3,28
48,3,29
49,3,30
50,3,31
51,3,32
52,3,34
53,3,35
54,3,36
55,3,37
56,3,38
57,3,39
58,3,40
